Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;miljoen;U;Rijk;-;TOTAAL;223594;;;;;
2014;Euro;miljoen;U;Rijk;I;De Koning;40;;;;;
2014;Euro;miljoen;U;Rijk;IIA;Staten-Generaal;138,1;;;;;
2014;Euro;miljoen;U;Rijk;IIB;Overige Hoge Colleges van Staat en Kabinetten;115,7;;;;;
2014;Euro;miljoen;U;Rijk;III;Algemene Zaken;60,5;;;;;
2014;Euro;miljoen;U;Rijk;IV;Koninkrijksrelaties;256,8;;;;;
2014;Euro;miljoen;U;Rijk;V;Buitenlandse Zaken;9069,1;;;;;
2014;Euro;miljoen;U;Rijk;VI;Veiligheid en Justitie;11807,9;;;;;
2014;Euro;miljoen;U;Rijk;VII;Binnenlandse Zaken en Koninkrijksrelaties;631,4;;;;;
2014;Euro;miljoen;U;Rijk;VIII;Onderwijs, Cultuur en Wetenschap;34798,9;;;;;
2014;Euro;miljoen;U;Rijk;IXA;Nationale Schuld (Transactiebasis);52364,2;;;;;
2014;Euro;miljoen;U;Rijk;IXB;Financien;9261,7;;;;;
2014;Euro;miljoen;U;Rijk;X;Defensie;7602;;;;;
2014;Euro;miljoen;U;Rijk;XI;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;0;;;;;
2014;Euro;miljoen;U;Rijk;XII;Infrastructuur en Milieu;10253,8;;;;;
2014;Euro;miljoen;U;Rijk;XIII;Economische Zaken;5032,3;;;;;
2014;Euro;miljoen;U;Rijk;XV;Sociale Zaken en Werkgelegenheid;33755,9;;;;;
2014;Euro;miljoen;U;Rijk;XVI;Volksgezondheid, Welzijn en Sport;14817,1;;;;;
2014;Euro;miljoen;U;Rijk;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;2795,7;;;;;
2014;Euro;miljoen;U;Rijk;XVIII;Wonen & Rijksdienst;3370,8;;;;;
2014;Euro;miljoen;U;Rijk;A;Infrastructuurfonds;6594,6;;;;;
2014;Euro;miljoen;U;Rijk;B;Gemeentefonds;18381,2;;;;;
2014;Euro;miljoen;U;Rijk;C;Provinciefonds;1172;;;;;
2014;Euro;miljoen;U;Rijk;F;Diergezondheidsfonds;10,9;;;;;
