"Agency Code","Agency Name","Bureau Code","Bureau Name",2012,2013,2014
I,"De Koning",1,"Grondwettelijke uitkering aan de leden van het koninklijk huis",0,0,0
I,"De Koning",2,"Functionele uitgaven van de Koning",0,0,0
I,"De Koning",3,"Doorbelaste uitgaven van andere begrotingen",0,0,0
IIA,"Staten Generaal",1,"Wetgeving en controle Eerste Kamer",79,79,0
IIA,"Staten Generaal",2,"Uitgaven ten behoeve van leden en oud-leden Tweede Kamer, alsmede leden van het Europees Parlement",86,86,0
IIA,"Staten Generaal",3,"Wetgeving en controle Tweede Kamer",2766,2766,0
IIA,"Staten Generaal",4,"Wetgeving en controle Eerste en Tweede Kamer",23,23,0
IIA,"Staten Generaal",10,"Nominaal en onvoorzien",0,0,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",1,"Raad van State",1852,2002,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",2,"Algemene Rekenkamer",1217,1217,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",3,"De Nationale ombudsman",1789,1789,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",4,"Kanselarij der Nederlandse Orden",29,29,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",6,"Kabinet van de Gouverneur van Aruba",60,60,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",7,"Kabinet van de Gouverneur van Curaçao",200,200,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",8,"Kabinet van de Gouverneur van Sint Maarten",70,50,0
IIB,"Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",10,"Nominaal en onvoorzien",0,0,0
III,"Algemene zaken",1,"Kabinet der Koningin",2372,2402,0
III,"Algemene zaken",1,"Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten",0,0,0
III,"Algemene zaken",1,"Kabinet van de Koning",0,0,2331
III,"Algemene zaken",1,"Bevorderen van de eenheid van het algemeen regeringsbeleid",3373,0,0
III,"Algemene zaken",1,"Commissie van toezicht betreffende de inlichtingen- en veiligheidsdiensten",0,0,0
III,"Algemene zaken",1,"Eenheid van het algemeen regeringsbeleid",0,4197,4199
III,"Algemene zaken",3,"Nominaal en onvoorzien",0,0,0
IV,Koninkrijksrelaties,1,Waarborgfunctie,4857,4857,4857
IV,Koninkrijksrelaties,2,"Bevorderen autonomie Koninkrijkspartners",28497,28013,27358
IV,Koninkrijksrelaties,3,"Nominaal en onvoorzien",0,0,0
V,"Buitenlandse Zaken",1,"Versterkte internationale rechtsorde en eerbiediging van mensenrechten",0,0,0
V,"Buitenlandse Zaken",2,"Veiligheid en stabiliteit",0,0,1168
V,"Buitenlandse Zaken",2,"Grotere veiligheid en stabiliteit, effectieve humanitaire hulpverlening en goed bestuur",1165,1167,0
V,"Buitenlandse Zaken",3,"Europese samenwerking",620347,685267,693700
V,"Buitenlandse Zaken",4,"Meer welvaart, eerlijkere verdeling en minder armoede",20136,57363,0
V,"Buitenlandse Zaken",4,"Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen",0,0,42090
V,"Buitenlandse Zaken",5,Geheim,0,0,0
V,"Buitenlandse Zaken",5,"Toegenomen menselijke ontplooiing en sociale ontwikkeling",0,0,0
V,"Buitenlandse Zaken",6,"Nominaal en onvoorzien",0,0,0
V,"Buitenlandse Zaken",6,"Duurzaam water- en milieubeheer",0,0,0
V,"Buitenlandse Zaken",7,Apparaat,0,0,27450
V,"Buitenlandse Zaken",7,"Welzijn en veiligheid van Nederlanders in het buitenland en regulering van het personenverkeer",39450,41300,0
V,"Buitenlandse Zaken",8,"Versterkt cultureel profiel en positieve beeldvorming in en buiten Nederland",790,790,0
V,"Buitenlandse Zaken",9,Geheim,0,0,0
V,"Buitenlandse Zaken",10,"Nominaal en onvoorzien",0,0,0
V,"Buitenlandse Zaken",11,Algemeen,58626,0,0
V,"Buitenlandse Zaken",11,Apparaat,0,58626,0
VI,"Veiligheid en Justitie",11,"Nederlandse rechtsorde",0,0,0
VI,"Veiligheid en Justitie",12,"Rechtspleging en rechtsbijstand",302882,0,0
VI,"Veiligheid en Justitie",13,"Rechtshandhaving en criminaliteitsbestrijding",1042047,0,0
VI,"Veiligheid en Justitie",14,Jeugd,2800,0,0
VI,"Veiligheid en Justitie",17,"Internationale rechtsorde",0,0,0
VI,"Veiligheid en Justitie",21,"Contraterrorisme- en nationaal veiligheidsbeleid",0,0,0
VI,"Veiligheid en Justitie",23,"Veiligheidsregio’s en politie",750,0,0
VI,"Veiligheid en Justitie",25,"Veiligheid en bestuur",0,0,0
VI,"Veiligheid en Justitie",29,"Inspectie openbare orde en veiligheid",0,0,0
VI,"Veiligheid en Justitie",31,"Nationale Politie",0,500,500
VI,"Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand",0,309755,313839
VI,"Veiligheid en Justitie",33,"Veiligheid en criminaliteitsbestrijding",0,1046498,1036798
VI,"Veiligheid en Justitie",34,Sanctietoepassing,0,1663,0
VI,"Veiligheid en Justitie",35,Jeugd,0,2800,1487
VI,"Veiligheid en Justitie",36,"Contraterrorisme en Nationaal Veiligheidsbeleid",0,0,0
VI,"Veiligheid en Justitie",37,Vreemdelingen,0,0,0
VI,"Veiligheid en Justitie",91,"Apparaatsuitgaven kerndepartement",2073,0,706
VI,"Veiligheid en Justitie",91,"Apparaat kerndepartement",0,868,0
VI,"Veiligheid en Justitie",92,"Nominaal en onvoorzien",0,0,0
VI,"Veiligheid en Justitie",93,Geheim,0,0,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",1,"Openbaar bestuur en democratie",21965,49465,24865
VII,"Binnenlandse Zaken en Koninkrijksrelaties",2,"Algemene Inlichtingen en Veiligheidsdienst",1191,0,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",2,"Algemene Inlichtingen- en Veiligheidsdienst",0,8214,12714
VII,"Binnenlandse Zaken en Koninkrijksrelaties",3,Woningmarkt,556140,578445,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",4,"Woonomgeving en bouw",91,91,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",5,"Integratie en maatschappelijke samenhang",32425,27566,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",6,"Dienstverlenende en innovatieve overheid",500,500,3350
VII,"Binnenlandse Zaken en Koninkrijksrelaties",7,"Arbeidszaken overheid",820,820,820
VII,"Binnenlandse Zaken en Koninkrijksrelaties",8,"Kwaliteit Rijksdienst",2550,250,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",9,"Uitvoering Rijkshuisvesting",2626,357,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",10,Vreemdelingen,467,0,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat",32232,27965,3875
VII,"Binnenlandse Zaken en Koninkrijksrelaties",12,Algemeen,0,0,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",13,"Nominaal en onvoorzien",0,0,0
VII,"Binnenlandse Zaken en Koninkrijksrelaties",14,VUT-fonds,14600,19000,337900
VIII,"Onderwijs, Cultuur en Wetenschap",1,"Primair onderwijs",1661,1661,1661
VIII,"Onderwijs, Cultuur en Wetenschap",3,"Voortgezet onderwijs",1361,1361,4661
VIII,"Onderwijs, Cultuur en Wetenschap",4,"Beroepsonderwijs en volwasseneneducatie",0,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",6,"Hoger beroepsonderwijs",974,1213,1213
VIII,"Onderwijs, Cultuur en Wetenschap",7,"Wetenschappelijk onderwijs",16,16,16
VIII,"Onderwijs, Cultuur en Wetenschap",8,"Internationaal beleid",99,99,99
VIII,"Onderwijs, Cultuur en Wetenschap",9,"Arbeidsmarkt- en personeelsbeleid",0,0,6000
VIII,"Onderwijs, Cultuur en Wetenschap",11,Studiefinanciering,755386,763301,766271
VIII,"Onderwijs, Cultuur en Wetenschap",12,"Tegemoetkoming onderwijsbijdrage en schoolkosten",13847,6189,4701
VIII,"Onderwijs, Cultuur en Wetenschap",13,Lesgelden,225549,223529,247762
VIII,"Onderwijs, Cultuur en Wetenschap",14,Cultuur,494,1945,1561
VIII,"Onderwijs, Cultuur en Wetenschap",15,Media,197500,190500,197500
VIII,"Onderwijs, Cultuur en Wetenschap",16,"Onderzoek en wetenschapsbeleid",101,101,101
VIII,"Onderwijs, Cultuur en Wetenschap",25,Emancipatie,0,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",91,"Nominaal en onvoorzien",0,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",92,"Apparaat Kerndepartement",567,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",93,Inspecties,0,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",94,Adviesraden,0,0,0
VIII,"Onderwijs, Cultuur en Wetenschap",95,Apparaatskosten,0,567,567
IX,"Financiën en Nationale Schuld",1,Belastingen,0,118200909,115246411
IX,"Financiën en Nationale Schuld",2,"Financiële markten",0,176748,162931
IX,"Financiën en Nationale Schuld",3,"Financieringsactiviteiten publiek-private sector",0,5201977,4864748
IX,"Financiën en Nationale Schuld",4,"Internationale financiële betrekkingen",0,64091,29970
IX,"Financiën en Nationale Schuld",5,"Exportkrediet- en investeringsgaranties",0,128550,0
IX,"Financiën en Nationale Schuld",5,"Exportkredietverzekeringen,-garanties en investeringsverzekeringen",0,0,99500
IX,"Financiën en Nationale Schuld",6,BTW-Compensatiefonds,0,2895357,2816420
IX,"Financiën en Nationale Schuld",7,"Beheer materiële activa",0,176986,1800
IX,"Financiën en Nationale Schuld",8,"Centraal Apparaat",0,27525,30385
IX,"Financiën en Nationale Schuld",9,Algemeen,0,0,0
IX,"Financiën en Nationale Schuld",10,"Nominaal en onvoorzien",0,0,0
IX,"Financiën en Nationale Schuld",11,"Financiering staatsschuld",0,47126831,48529076
IX,"Financiën en Nationale Schuld",12,Kasbeheer,0,1929063,3119938
IXA,"Nationale Schuld",1,"Financiering staatsschuld",42468082,0,0
IXA,"Nationale Schuld",2,Kasbeheer,2066769,0,0
IXA,"Nationale Schuld",3,"Nominaal en Onvoorzien",0,0,0
IXB,Financiën,1,Belastingen,118134875,0,0
IXB,Financiën,2,"Financiële markten",242739,0,0
IXB,Financiën,3,"Financieringsactiviteiten publiek-private sector",7891115,0,0
IXB,Financiën,4,"Internationale financiële betrekkingen",183036,0,0
IXB,Financiën,5,"Exportkredietverzekering en investeringsgaranties",104550,0,0
IXB,Financiën,6,BTW-Compensatiefonds,3123921,0,0
IXB,Financiën,7,"Beheer materiële activa",179859,0,0
IXB,Financiën,8,"Centraal Apparaat",27065,0,0
IXB,Financiën,9,Algemeen,0,0,0
IXB,Financiën,10,"Nominaal en onvoorzien",0,0,0
X,Defensie,1," Inzet",0,13707,1407
X,Defensie,2,"Taakuitvoering zeestrijdkrachten",0,20164,20044
X,Defensie,3,"Taakuitvoering landstrijdkrachten",0,20523,20523
X,Defensie,4,"Taakuitvoering luchtstrijdkrachten",0,15286,15227
X,Defensie,5,"Taakuitvoering marechaussee",0,4652,4590
X,Defensie,6,"Investeringen krijgsmacht",0,205528,163788
X,Defensie,7,"Ondersteuning krijgsmacht door Defensie Materieel Organisatie",0,42667,42933
X,Defensie,8,"Ondersteuning krijgsmacht door Commando DienstenCentra",0,44319,51377
X,Defensie,9,Algemeen,0,0,0
X,Defensie,10,"Centraal apparaat",0,6951,6908
X,Defensie,11,"Geheime uitgaven",0,0,0
X,Defensie,12,"Nominaal en onvoorzien ",0,0,0
X,Defensie,20,Inzet,5907,0,0
X,Defensie,21,Commando,13564,0,0
X,Defensie,22,Commando,15823,0,0
X,Defensie,23,Commando,9181,0,0
X,Defensie,24,Commando,4652,0,0
X,Defensie,25,Defensie,231325,0,0
X,Defensie,26,Commando,53769,0,0
X,Defensie,70,Geheime,0,0,0
X,Defensie,80,Nominaal,0,0,0
X,Defensie,90,Algemeen,318,0,0
X,Defensie,91,Centraal,6582,0,0
XII,"Infrastructuur en Milieu",11,Waterkwantiteit,0,470,30
