"Agency Code","Agency Name","Bureau Code","Bureau Name",2013,2014
XV,"Sociale Zaken en Werkgelegenheid",99,"Nominaal en onvoorzien",107152,181517
XV,"Sociale Zaken en Werkgelegenheid",13,"Integratie en maatschappelijke samenhang",0,121521
XV,"Sociale Zaken en Werkgelegenheid",97,"Aflopende regelingen",0,0
XV,"Sociale Zaken en Werkgelegenheid",5,Werkloosheid,5122,32444
XV,"Sociale Zaken en Werkgelegenheid",4,Jonggehandicapten,2606167,2952962
XV,"Sociale Zaken en Werkgelegenheid",96,Apparaat,240603,285829
XV,"Sociale Zaken en Werkgelegenheid",9,Nabestaanden,937,964
XV,"Sociale Zaken en Werkgelegenheid",98,Algemeen,67028,48804
XV,"Sociale Zaken en Werkgelegenheid",8,Oudedagsvoorziening,958574,1053343
XV,"Sociale Zaken en Werkgelegenheid",3,Arbeidsongeschiktheid,472,649
XV,"Sociale Zaken en Werkgelegenheid",2,"Bijstand, Toeslagenwet en Sociale werkvoorziening",9230038,10578354
XV,"Sociale Zaken en Werkgelegenheid",12,Rijksbijdragen,9556131,11102706
XV,"Sociale Zaken en Werkgelegenheid",7,Kinderopvang,2696970,2402197
XV,"Sociale Zaken en Werkgelegenheid",11,Uitvoeringskosten,432859,481338
XV,"Sociale Zaken en Werkgelegenheid",10,"Tegemoetkoming ouders",4293755,4486790
XV,"Sociale Zaken en Werkgelegenheid",6,"Ziekte en zwangerschap",5164,6805
XV,"Sociale Zaken en Werkgelegenheid",1,Arbeidsmarkt,24272,19665
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",1,"Een sterke internationale concurrentiepositie",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",6,"Duurzaam water- en milieubeheer",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",3,"Veiligheid en stabiliteit, humanitaire hulp en goed bestuur",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",2,"Internationale rechtsorde en mensenrechten",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",42,"Duurzame ontwikkeling, voedselzekerheid en water",0,581953
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",44,"Vrede en veiligheid voor ontwikkeling",0,685469
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",8,"Versterkt cultureel profiel en positieve beeldvorming NL",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",41,"Duurzame handel en investeringen",0,463256
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",4,"Meer welvaart, eerlijkere verdeling en minder armoede",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",43,"Sociale vooruitgang",0,985987
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",7,"Regulering van het personenverkeer",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",5,"Toegenomen menselijke ontplooiing en sociale ontwikkeling",0,0
XVII,"Buitenlandse Handel & Ontwikkelingssamenwerking",45,"Versterkte kaders voor ontwikkeling",0,79011
C,Provinciefonds,1,Provinciefonds,1138214,1171987
X,Defensie,11,"Geheime uitgaven",5264,5264
X,Defensie,9,Algemeen,95502,113716
X,Defensie,7,"Ondersteuning krijgsmacht door Defensie Materieel Org",862466,814171
X,Defensie,4,"Taakuitvoering Luchtstrijdkrachten",663949,637987
X,Defensie,6,"Investeringen Krijgsmacht",1173362,1192309
X,Defensie,12,"Nominaal en onvoorzien",63401,47727
X,Defensie,3,"Taakuitvoering Landstrijdkrachten",1135839,1108639
X,Defensie,1,"Opdracht Inzet",21315,6250
X,Defensie,8,"Ondersteuning krijgsmacht door Cdo Dienstencentra",939434,972277
X,Defensie,10,"Centraal apparaat",1592910,1698315
X,Defensie,5,"Taakuitvoering Koninklijke Marechaussee",317618,311529
X,Defensie,2,"Taakuitvoering Zeestrijdkrachten",714076,693849
IV," Koninkrijksrelaties",2,"Bevord.autonomie Koninkrijkspartners",213131,193709
IV," Koninkrijksrelaties",1,Waarborgfunctie,63607,61821
IV," Koninkrijksrelaties",3,"Nominaal en onvoorzien",805,1223
XII,"Infrastructuur en Milieu",24,"Handhaving en toezicht",136654,129559
XII,"Infrastructuur en Milieu",11,Waterkwantiteit,40946,39731
XII,"Infrastructuur en Milieu",26,"Bijdrage investeringsfondsen",6761720,7452327
XII,"Infrastructuur en Milieu",17,Luchtvaart,23341,34291
XII,"Infrastructuur en Milieu",15,"Openbaar vervoer",8316,7531
XII,"Infrastructuur en Milieu",14,"Wegen en verkeersveiligheid",40405,33119
XII,"Infrastructuur en Milieu",98,"Apparaatsuitgaven Kerndepartement",350087,319700
XII,"Infrastructuur en Milieu",13,"Ruimtelijke Ontwikkeling",147634,105979
XII,"Infrastructuur en Milieu",99,"Nominaal en onvoorzien",157181,-14543
XII,"Infrastructuur en Milieu",22,"Externe veiligheid en risico's",17233,28134
XII,"Infrastructuur en Milieu",97,"Algemeen departement",23429,27206
XII,"Infrastructuur en Milieu",21,Duurzaamheid,44601,13530
XII,"Infrastructuur en Milieu",19,Klimaat,92943,59422
XII,"Infrastructuur en Milieu",16,Spoor,38049,24424
XII,"Infrastructuur en Milieu",23,"Meteorologie, seismologie en aardobservatie",4631,33926
XII,"Infrastructuur en Milieu",25,"Bijdrage BDU",1795605,1819189
XII,"Infrastructuur en Milieu",18,Scheepvaart,6464,5303
XII,"Infrastructuur en Milieu",20,"Lucht en geluid",78823,49383
XII,"Infrastructuur en Milieu",12,Waterkwaliteit,100756,85558
H,BES-fonds,1,BES-fonds,32093,32709
I,"De Koning",1,"UITKERING LEDEN KONINKLIJK HUIS",7277,7614
I,"De Koning",3,"Doorbelaste uitgaven van andere begrotingen",5661,5594
I,"De Koning",2,"Functionele uitgaven van de Koning",26995,26779
V,"Buitenlandse Zaken",8,"Versterkt cultureel profiel en positieve beeldvorming NL",71982,0
V,"Buitenlandse Zaken",4,"Meer welvaart en minder armoede",938979,0
V,"Buitenlandse Zaken",45,Geheim,0,31
V,"Buitenlandse Zaken",42,"Veiligheid en stabiliteit",0,273466
V,"Buitenlandse Zaken",6,"Duurzaam water- en milieubeheer",39796,0
V,"Buitenlandse Zaken",10,"Nominaal en onvoorzien",33597,0
V,"Buitenlandse Zaken",43,"Europese Samenwerking",0,7824896
V,"Buitenlandse Zaken",47,Apparaat,0,744195
V,"Buitenlandse Zaken",44,"Consulaire belangenbehartiging",0,53291
V,"Buitenlandse Zaken",2,"Grotere veiligheid en stabiliteit en humanitaire hulp",7765,0
V,"Buitenlandse Zaken",11,Algemeen,759974,0
V,"Buitenlandse Zaken",3,"Europese samenwerking",7580467,0
V,"Buitenlandse Zaken",41,"Internationale rechtsorde en eerbiediging mensenrechten",0,106237
V,"Buitenlandse Zaken",1,"Internationale rechtsorde en mensenrechten",114886,0
V,"Buitenlandse Zaken",9,Geheim,0,0
V,"Buitenlandse Zaken",7,"Welzijn en veiligheid van Nederlanders in het buitenland",24964,0
V,"Buitenlandse Zaken",5,"Toegenomen menselijke ontplooiing en sociale ontwikkeling",1078152,0
V,"Buitenlandse Zaken",46,"Nominaal en onvoorzien",0,67011
J,Deltafonds,6,"Bijdrage ten laste van begroting Hoofdstuk XII",0,0
J,Deltafonds,2,"Investeren in zoetwatervoorziening",32117,3863
J,Deltafonds,1,"Investeren in waterveiligheid",536712,827890
J,Deltafonds,4,"Experimenteren cf. art.111 Deltawet",0,0
J,Deltafonds,3,"Beheer, Onderhoud en vervanging",15615,176257
J,Deltafonds,5,"Netwerkgebonden kosten en overige uitgaven",247581,222828
VI,"Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand",1522621,1509230
VI,"Veiligheid en Justitie",29,"Inspectie openbare orde en veiligheid",0,0
VI,"Veiligheid en Justitie",33,"Veiligheid en criminaliteitsbestrijding",768902,742753
VI,"Veiligheid en Justitie",34,Sanctietoepassing,2242335,2271998
VI,"Veiligheid en Justitie",36,"Contraterrorisme en Nationaal Veiligheidsbeleid",205242,253413
VI,"Veiligheid en Justitie",91,"Apparaatsuitgaven kerndepartement",357813,410369
